,month,metric_total,topic_id,metric
13,2020_02_01,17.0,0,total_sellers
14,2020_03_01,21.0,0,total_sellers
15,2020_04_01,30.0,0,total_sellers
16,2020_05_01,38.0,0,total_sellers
17,2020_06_01,67.0,0,total_sellers
18,2020_07_01,107.0,0,total_sellers
19,2020_08_01,144.0,0,total_sellers
20,2020_09_01,175.0,0,total_sellers
21,2020_10_01,180.0,0,total_sellers
22,2020_11_01,178.0,0,total_sellers
23,2020_12_01,40.0,0,total_sellers
24,,331.0,0,total_sellers
0,2019-02-01,9.0,1,total_enrollments
1,2019-03-01,2.0,1,total_enrollments
2,2019-04-01,6.0,1,total_enrollments
3,2019-05-01,7.0,1,total_enrollments
4,2019-08-01,3.0,1,total_enrollments
5,2019-09-01,2.0,1,total_enrollments
6,2019-11-01,69.0,1,total_enrollments
7,2019-12-01,119.0,1,total_enrollments
8,2020-01-01,137.0,1,total_enrollments
9,2020-02-01,24.0,1,total_enrollments
10,2020-03-01,336.0,1,total_enrollments
11,2020-04-01,652.0,1,total_enrollments
12,2020-05-01,860.0,1,total_enrollments
13,2020-06-01,1784.0,1,total_enrollments
14,2020-07-01,2116.0,1,total_enrollments
15,2020-08-01,1750.0,1,total_enrollments
16,2020-09-01,888.0,1,total_enrollments
17,2020-10-01,770.0,1,total_enrollments
18,2020-11-01,765.0,1,total_enrollments
19,2020-12-01,58.0,1,total_enrollments
20,,0.0,1,total_enrollments
0,2019_02_01,8.0,1,new_buyers
1,2019_03_01,2.0,1,new_buyers
2,2019_04_01,6.0,1,new_buyers
3,2019_05_01,6.0,1,new_buyers
4,2019_08_01,3.0,1,new_buyers
5,2019_09_01,2.0,1,new_buyers
6,2019_11_01,55.0,1,new_buyers
7,2019_12_01,98.0,1,new_buyers
8,2020_01_01,106.0,1,new_buyers
9,2020_02_01,21.0,1,new_buyers
10,2020_03_01,272.0,1,new_buyers
11,2020_04_01,498.0,1,new_buyers
12,2020_05_01,698.0,1,new_buyers
13,2020_06_01,1351.0,1,new_buyers
14,2020_07_01,1568.0,1,new_buyers
15,2020_08_01,1335.0,1,new_buyers
16,2020_09_01,714.0,1,new_buyers
17,2020_10_01,601.0,1,new_buyers
18,2020_11_01,622.0,1,new_buyers
19,2020_12_01,35.0,1,new_buyers
20,,0.0,1,new_buyers
0,2019_02_01,8.0,1,total_buyers
1,2019_03_01,2.0,1,total_buyers
2,2019_04_01,6.0,1,total_buyers
3,2019_05_01,6.0,1,total_buyers
